artist|popularity
The Pussycat Dolls|68
Oasis|76
DaBaby|81
Destiny's Child|71
Khalid|84
Mike Perry|67
Lupe Fiasco|66
Black Eyed Peas|80
Fall Out Boy|79
Childish Gambino|78
Sisqo|58
Hot Chelle Rae|56
DJ Snake|78
2 Chainz|76
P.O.D.|61
Beyoncé|87
Lil Wayne|86
Weeekly|52
Lenny Kravitz|69
Maggie Rogers|68
Crazy Frog|57
Enrique Iglesias|77
Christina Aguilera|77
Labrinth|80
Beyoncé|87
Khalid|84
Black Eyed Peas|80
Big Sean|77
The Corrs|60
James Morrison|62
The Pussycat Dolls|68
Robbie Williams|70
LeAnn Rimes|61
Offset|81
Maluma|83
Nelly|74
Stereophonics|63
Maroon 5|85
Chris Brown|86
Jay Sean|65
Maroon 5|85
3OH!3|62
Enrique Iglesias|77
Iggy Azalea|69
Lil Dicky|60
Bingo Players|58
Missy Elliott|71
The All-American Rejects|66
Florida Georgia Line|75
Selena Gomez|84
Michael Bublé|72
Toni Braxton|63
Alessia Cara|73
Coldplay|88
The Darkness|55
Avicii|81
Mario Winans|59
Icona Pop|66
Panic! At The Disco|77
DJ Khaled|76
Jason Derulo|79
Kanye West|90
P!nk|81
Eminem|90
Andy Grammer|69
Pamungkas|70
Jay Rock|73
Good Charlotte|65
Tim McGraw|72
Daft Punk|81
Duffy|51
Usher|79
Normani|68
Black Eyed Peas|80
Westlife|69
Saweetie|70
The Fray|68
Desiigner|63
Eric Prydz|64
Natasha Bedingfield|65
Omarion|64
Bridgit Mendler|59
Chamillionaire|57
Lil Wayne|86
Robbie Williams|70
Ashanti|71
Nickelback|76
Shinedown|70
JP Cooper|67
LMFAO|67
Ne-Yo|83
Kid Ink|67
Migos|76
fun.|67
Jamelia|52
Snoop Dogg|82
Lady Gaga|85
Sia|83
Gwen Stefani|72
Outkast|74
Armin van Buuren|74
Mariah Carey|77
P!nk|81
Kevin Lyttle|60
Rascal Flatts|69
Eminem|90
3 Doors Down|70
OneRepublic|83
David Guetta|88
Katy Perry|84
Britney Spears|80
Missy Elliott|71
Chris Brown|86
Rihanna|89
DJ Snake|78
Cobra Starship|57
Kesha|76
Kevin Gates|73
Meek Mill|75
Duncan Laurence|67
50 Cent|83
Beyoncé|87
Ramz|58
Cardi B|80
Jason Aldean|74
Jeremih|73
Kesha|76
Timbaland|76
The 1975|79
Nick Jonas|66
Diddy - Dirty Money|52
Rihanna|89
StarBoi3|51
Christina Aguilera|77
Katy Perry|84
Jonas Blue|76
Enrique Iglesias|77
Blu Cantrell|57
Ardhito Pramono|60
Clean Bandit|74
Aloe Blacc|65
Timbaland|76
The Rasmus|57
Kaleb J|57
Sezairi|52
P!nk|81
AJ Tracey|67
The Chicks|67
Paolo Nutini|67
Flipp Dinero|57
Ne-Yo|83
Eminem|90
Mumford & Sons|72
Freya Ridings|62
Lil Jon & The East Side Boyz|62
Rihanna|89
Yeah Yeah Yeahs|65
Taylor Swift|100
Nina Sky|58
Kelly Clarkson|74
The Notorious B.I.G.|78
Grimes|68
Asaf Avidan|59
GABRIELLE|56
Kid Rock|67
Joel Adams|52
Gwen Stefani|72
Chingy|58
Bob Sinclar|68
Lizzo|76
Miley Cyrus|87
Florence + The Machine|77
Beyoncé|87
Martin Jensen|66
Rihanna|89
The Raconteurs|57
Liam Payne|63
Petit Biscuit|62
Kesha|76
Drake|95
SAYGRACE|56
Michael Jackson|82
5 Seconds of Summer|77
Justin Bieber|89
Nine Days|50
Cage The Elephant|73
Jon Bellion|66
Justin Bieber|89
Lupe Fiasco|66
Mary J. Blige|70
Afroman|60
Iggy Azalea|69
P!nk|81
Ella Mai|70
*NSYNC|66
Sia|83
Ne-Yo|83
September|51
T.I.|74
Ginuwine|65
O-Zone|56
Uncle Kracker|62
Alicia Keys|77
Christina Aguilera|77
The Script|72
Pharrell Williams|79
Oliver Heldens|70
2Pac|80
Chris Brown|86
Ciara|70
Kodaline|68
Lorde|75
Flo Rida|78
Flo Rida|78
Duke Dumont|65
Smash Mouth|65
Drake|95
Shontelle|54
Fabolous|66
2 Chainz|76
JoJo|62
Maggie Rogers|68
Bad Meets Evil|59
Akon|80
Missy Elliott|71
Jennifer Lopez|75
Amy Winehouse|74
Britney Spears|80
Tory Lanez|80
Kendrick Lamar|89
Mabel|68
Kelis|63
Junior Senior|53
Ludacris|76
The Fray|68
Paolo Nutini|67
Galantis|72
Sam Feldt|72
Lilly Wood and The Prick|62
D12|64
Jeezy|69
Aaliyah|66
Ayo & Teo|55
Adele|85
Metro Station|53
Ed Sheeran|90
Travis|89
Lil Jon|72
Edward Maya|63
Justin Timberlake|79
Tove Lo|74
Young Thug|84
Martin Garrix|76
Calvin Harris|86
David Guetta|88
Aaliyah|66
Migos|76
Matchbox Twenty|68
Westlife|69
will.i.am|73
Sean Paul|81
David Guetta|88
Miguel|79
Empire of the Sun|72
Basshunter|60
OneRepublic|83
Nicki Minaj|86
Snoop Dogg|82
Leona Lewis|64
Spiderbait|53
Kesha|76
Jamie Foxx|69
James Blunt|71
Faith Hill|63
Ellie Goulding|81
David Archuleta|53
Dizzee Rascal|62
Toploader|62
John Mayer|77
Pitbull|82
Sigala|73
Logic|76
Britney Spears|80
Secondhand Serenade|56
Deorro|67
iann dior|73
Megan Thee Stallion|78
Dua Lipa|87
Usher|79
Lee Ann Womack|57
Britney Spears|80
Joe|76
Beyoncé|87
T-Pain|76
Jennifer Lopez|75
Jason Derulo|79
Destiny's Child|71
Nick Jonas|66
Tom Walker|66
Christina Aguilera|77
Terror Squad|51
Ida Corr|52
Calvin Harris|86
David Guetta|88
Bow Wow|59
Black Eyed Peas|80
Mahalini|75
Foals|64
Fetty Wap|69
Beyoncé|87
Basshunter|60
Swedish House Mafia|75
Twista|65
Emeli Sandé|63
Tiësto|84
Sebastian Ingrosso|61
Jason Derulo|79
Swedish House Mafia|75
Usher|79
Tom Jones|64
Uncle Kracker|62
Robbie Williams|70
Lasgo|52
Beyoncé|87
Drake|95
Justin Timberlake|79
Passion Pit|58
Cali Swag District|49
Las Ketchup|53
The 1975|79
Ariana Grande|88
Macklemore & Ryan Lewis|74
Desiigner|63
DNCE|68
Shakira|89
Larissa Lambert|52
Rihanna|89
Nickelback|76
Jagged Edge|61
Jax Jones|74
JAY-Z|83
Misellia|51
Razorlight|57
Justin Bieber|89
Akon|80
Eminem|90
YG|74
Puddle Of Mudd|62
Kelly Clarkson|74
The Script|72
Diskoria|57
Trey Songz|69
FRENSHIP|52
Christina Aguilera|77
The All-American Rejects|66
Cheryl|58
MØ|90
Kasabian|62
Jennifer Lopez|75
Klaxons|50
DJ Sammy|53
Chad Kroeger|53
Daya|69
Kiesza|55
Purple Disco Machine|74
Plies|61
Diddy|72
Staind|64
Yung Joc|61
Russ Millions|69
Roddy Ricch|79
Kevin Rudolf|51
Ellie Goulding|81
Jamiroquai|67
The Shapeshifters|52
B.o.B|72
Budi Doremi|66
David Guetta|88
Maroon 5|85
Ne-Yo|83
Doja Cat|85
Shouse|69
Third Eye Blind|64
Wayne Wonder|52
Gavin DeGraw|61
Mary J. Blige|70
John Legend|76
Dermot Kennedy|74
Take That|63
Sam Feldt|72
Rae Sremmurd|73
Yo Gotti|65
Agnes|58
Benny Benassi|66
Michael Franti & Spearhead|57
Scouting For Girls|55
Avicii|81
Bobby V.|58
Lorde|75
Natalie La Rose|50
Sugarland|57
WILLOW|71
Ed Sheeran|90
Sean Kingston|69
Céline Dion|73
The Script|72
Gigi D'Agostino|68
Blueface|68
Britney Spears|80
Enrique Iglesias|77
Jason Derulo|79
David Guetta|88
Donell Jones|55
Duffy|51
KALEO|69
Eminem|90
Macklemore & Ryan Lewis|74
Baha Men|49
Philip George|55
Nicky Jam|81
Beyoncé|87
Alicia Keys|77
James Morrison|62
Ellie Goulding|81
Bruno Mars|87
Ariana Grande|88
Lil Wayne|86
Christina Aguilera|77
Nelly Furtado|76
Neon Trees|65
Chris Brown|86
Akon|80
J. Holiday|51
Stevan Pasaribu|52
KT Tunstall|59
Ciara|70
Destiny's Child|71
T.I.|74
Usher|79
Beyoncé|87
Cherish|65
Imany|56
Kent Jones|49
Rich Homie Quan|64
Eamon|50
Fergie|69
DJ Fresh|53
Cobra Starship|57
Jack Johnson|76
Pretty Ricky|55
Fitz and The Tantrums|65
Kelly Clarkson|74
John Mayer|77
Alessia Cara|73
The Pussycat Dolls|68
Enrique Iglesias|77
Death Cab for Cutie|63
James Morrison|62
Sisqo|58
Sonique|50
A.R. Rahman|81
D4L|47
Anastacia|60
Ciara|70
Sean Paul|81
Phoenix|65
Kanye West|90
Gwen Stefani|72
Sam Smith|84
DJ Khaled|76
Matoma|65
Nicki Minaj|86
Keri Hilson|67
Ja Rule|69
Rihanna|89
Ray J|53
Mary Mary|70
JUVENILE|58
3OH!3|62
Zedd|74
Big Tymers|51
Lupe Fiasco|66
Filter|55
Amy Winehouse|74
Atomic Kitten|56
Rui Da Silva|53
Kelis|63
Chris Brown|86
Usher|79
G.R.L.|55
Silentó|49
Yolanda Be Cool|53
T.I.|74
Atomic Kitten|56
Jason Derulo|79
Amy Winehouse|74
Janet Jackson|66
Blue|68
The xx|66
Ed Sheeran|90
Charli XCX|75
Wiley|44
Justin Bieber|89
Sia|83
Fabolous|66
Tove Lo|74
Robyn|60
Sting|70
Thomas Rhett|73
Jess Glynne|72
Black Eyed Peas|80
Chris Brown|86
Jason Derulo|79
Fergie|69
The Chemical Brothers|62
EO|48
Lloyd|64
Ella Henderson|74
Bastille|74
No Doubt|67
Usher|79
Black Eyed Peas|80
JAY-Z|83
Ludacris|76
Lykke Li|67
The-Dream|63
Kaiser Chiefs|59
Anastacia|60
Kylie Minogue|72
*NSYNC|66
Wolfmother|60
Bow Wow|59
Destiny's Child|71
Robin Thicke|63
Janelle Monáe|70
Switchfoot|58
Kelly Rowland|68
Panjabi MC|54
Armand Van Helden|63
Trey Songz|69
Flume|71
Lumidee|51
112|64
Amy Winehouse|74
Black Eyed Peas|80
The-Dream|63
Macklemore & Ryan Lewis|74
NEIKED|63
Monica|62
B.o.B|72
Lil' Flip|53
Kendrick Lamar|89
Ariana Grande|88
Santana|73
Paramore|78
The Roots|59
Maroon 5|85
No Doubt|67
Cher Lloyd|60
Sean Paul|81
Calvin Harris|86
Christina Aguilera|77
Westlife|69
Nelly|74
Martin Garrix|76
Wale|69
Calvin Harris|86
DRAM|65
Starley|54
Sigala|73
Example|58
OneRepublic|83
Black Eyed Peas|80
Cascada|65
Tinie Tempah|66
Lil Pump|65
6ix9ine|72
Lifehouse|63
Ashanti|71
INNA|70
Pitbull|82
Tyrese|56
Flo Rida|78
Taylor Swift|100
The Band Perry|56
Daniel Bedingfield|52
Jess Glynne|72
Justin Bieber|89
No Doubt|67
JAY-Z|83
Example|58
Justin Timberlake|79
Maroon 5|85
Beyoncé|87
S Club 7|56
HÄWK|49
John Mayer|77
Ciara|70
Disclosure|72
Jordin Sparks|62
Ray J|53
50 Cent|83
Britney Spears|80
Natasha Bedingfield|65
Ciara|70
All Saints|56
Tyga|80
Far East Movement|65
Wiz Khalifa|81
Ying Yang Twins|62
John Legend|76
Plies|61
Madonna|80
The Weeknd|95
Shania Twain|74
E-40|67
Lana Del Rey|91
G-Unit|63
Tiësto|84
Jennifer Lopez|75
Fifth Harmony|68
Britney Spears|80
B2K|52
Plies|61
Christina Aguilera|77
Usher|79
Special D.|52
Ed Sheeran|90
Snakehips|64
S Club 7|56
Calvin Harris|86
Cascada|65
P!nk|81
Craig David|64
Chris Brown|86
Eve|67
Sean Paul|81
ScHoolboy Q|72
Olly Murs|65
Fuel|56
Taio Cruz|69
Stefflon Don|67
Scissor Sisters|60
JAY-Z|83
Calvin Harris|86
Mario|65
Mary J. Blige|70
Steve Aoki|73
Keyshia Cole|67
Jesse McCartney|58
Big Shaq|45
Aaliyah|66
Bubba Sparxxx|54
Khia|47
PARTYNEXTDOOR|77
Bastille|74
Cam’ron|59
Chingy|58
Elbow|52
Blue|68
Nelly|74
Shop Boyz|46
Chingy|58
Judika|45
Ludacris|76
Papa Roach|72
Bow Wow|59
Destiny's Child|71
Joel Corry|75
Lloyd|64
The Supermen Lovers|46
Simple Plan|68
BENEE|66
LMC|47
will.i.am|73
BOYS LIKE GIRLS|60
Martin Garrix|76
Stormzy|71
Maroon 5|85
Gwen Stefani|72
Jonas Brothers|77
Busted|56
Céline Dion|73
Truth Hurts|43
Chase & Status|60
Destiny's Child|71
O.T. Genasis|53
Labrinth|80
ZHU|64
Rudimental|69
Calvin Harris|86
Petey Pablo|59
Pitbull|82
Ludacris|76
Musiq Soulchild|59
T2|48
Lil Wayne|86
Nas|74
Pitbull|82
Bone Thugs-N-Harmony|66
Trick Daddy|57
Black Eyed Peas|80
B Young|83
New Hope Club|53
Dem Franchize Boyz|47
Cheat Codes|68
Fat Joe|67
Fabolous|66
Ludacris|76
The All-American Rejects|66
Sophie Ellis-Bextor|59
Emeli Sandé|63
Sigma|59
The Prodigy|65
Tweet|47
Drake|95
ZAYN|75
Ultrabeat|49
Maxwell|57
Gorgon City|64
Craig David|64
Vengaboys|63
Plan B|78
Nicki Minaj|86
Jordin Sparks|62
Selena Gomez|84
Scooter|51
will.i.am|73
Lizzo|76
Alicia Keys|77
Soulja Boy|68
Rudimental|69
50 Cent|83
K'NAAN|nan
Sigala|73
Wiz Khalifa|81
Marc E. Bassy|59
Taylor Swift|100
Anne-Marie|80
Lana Del Rey|91
Gwen Stefani|72
Florida Georgia Line|75
Kanye West|90
Alicia Keys|77
Kaiser Chiefs|59
The Streets|56
Sia|83
Montell Jordan|57
Ciara|70
David Guetta|88
Stereophonics|63
Sunshine Anderson|42
Dizzee Rascal|62
Houston|76
Asher Roth|46
Omarion|64
Radiohead|80
Ronan Keating|61
Ginuwine|65
Keyshia Cole|67
Ronan Keating|61
Fergie|69
Room 5|49
Ja Rule|69
Aaliyah|66
Madonna|80
Duke Dumont|65
Katie Melua|58
Lloyd Banks|62
Kaiser Chiefs|59
Floetry|47
Mis-Teeq|45
DJ Snake|78
Cheat Codes|68
Gotye|67
Blue|68
Jennifer Hudson|56
Ludacris|76
Kygo|79
Mariah Carey|77
Aloe Blacc|65
Alex Clare|53
Nelly Furtado|76
The Veronicas|55
Colby O'Donis|67
Disclosure|72
Pretty Ricky|55
Noah And The Whale|52
Elvis Presley|78
Michel Teló|60
McFly|57
Jax Jones|74
Ja Rule|69
Ashanti|71
Enrique Iglesias|77
Jax Jones|74
Travis Scott|89
Mýa|62
Jidenna|53
Mariah Carey|77
Rizzle Kicks|51
Enrique Iglesias|77
CeeLo Green|63
Kate Nash|50
Infernal|29
Selena Gomez|84
Missy Elliott|71
Lil Wayne|86
LL COOL J|62
No Doubt|67
DJ Ötzi|57
Chingy|58
D12|64
Blue|68
La Roux|62
Razorlight|57
Mariah Carey|77
Naughty Boy|60
Ciara|70
Ne-Yo|83
Demi Lovato|78
Kelis|63
Case|55
Erick Sermon|49
The Game|72
Nelly|74
Scooter|51
Melanie C|55
Waka Flocka Flame|66
Lily Allen|67
Pretty Ricky|55
Jagged Edge|61
GABRIELLE|56
Sugababes|58
Snoop Dogg|82
Sam Feldt|72
Simply Red|67
Gabriella Cilmi|45
P!nk|81
Scouting For Girls|55
Hilltop Hoods|61
*NSYNC|66
MiMS|45
Niall Horan|79
Robbie Williams|70
Elliott Yamin|42
Adam Lambert|62
Tinie Tempah|66
Calvin Harris|86
Jennifer Lopez|75
George Michael|72
Baby Bash|61
Erykah Badu|67
Jordin Sparks|62
Ne-Yo|83
The Pussycat Dolls|68
Cardi B|80
The Fratellis|60
Gym Class Heroes|68
Madison Avenue|49
JAY-Z|83
Drake|95
Flo Rida|78
Cam’ron|59
Bon Iver|74
Scissor Sisters|60
Zara Larsson|76
The Coral|53
112|64
Klingande|60
Zay Hilfigerrr|40
Dere|58
Rudimental|69
Storm Queen|42
Eiffel 65|62
Ruff Endz|43
Tinchy Stryder|45
Ashanti|71
Bow Wow|59
Pendulum|61
Jaheim|55
Fedde Le Grand|58
Flume|71
Mystikal|56
Years & Years|68
Anastacia|60
Young T & Bugsey|57
J. Holiday|51
Wyclef Jean|71
Jason Derulo|79
Clean Bandit|74
Baby Boy Da Prince|41
Fabolous|66
Rich Boy|45
J-Kwon|51
Busta Rhymes|71
2Pac|80
Ying Yang Twins|62
Wiley|44
Christina Milian|52
Donell Jones|55
Next|55
Creed|79
Christina Milian|52
Milow|36
Enrique Iglesias|77
Fatman Scoop|59
JLS|49
Sam Sparro|48
Robin Thicke|63
Jibbs|41
Anne-Marie|80
Flo Rida|78
Danity Kane|45
Anitta|78
John Legend|76
DJ Fresh|53
Gavin DeGraw|61
Keri Hilson|67
Alicia Keys|77
Kylie Minogue|72
Justin Timberlake|79
Otto Knows|61
Anneth|48
Mary J. Blige|70
Hayden James|59
Shakira|89
Timeflies|51
Missy Elliott|71
Busta Rhymes|71
Jennifer Lopez|75
iio|43
Avant|54
Avicii|81
Girls Aloud|51
Kylie Minogue|72
McFly|57
Ellie Goulding|81
Joe|76
AFROJACK|72
Scissor Sisters|60
99 Souls|45
Sugababes|58
Eminem|90
Fergie|69
Kelly Rowland|68
Youngbloodz|48
Kid Cudi|80
Enrique Iglesias|77
DJ Pied Piper & The Masters Of Ceremonies|38
Bomfunk MC's|51
Destiny's Child|71
Martin Solveig|64
Nelly|74
Peking Duk|52
Sugababes|58
Carl Thomas|49
Jagged Edge|61
Oasis|76
P!nk|81
3LW|42
Justin Timberlake|79
N.O.R.E.|55
NSG|58
DB Boulevard|44
Avant|54
N.E.R.D|56
Jeezy|69
Moloko|54
Da Brat|51
"H ""two"" O"|38
Chris Brown|86
Drake|95
Tim Berg|52
Gavin DeGraw|61
Gym Class Heroes|68
Kandi|44
Nelly|74
Jagged Edge|61
Trey Songz|69
Faith Evans|64
Jennifer Lopez|75
Doja Cat|85
Selena Gomez & The Scene|68
Swedish House Mafia|75
Cashmere Cat|54
Huey|63
Basement Jaxx|54
Trey Songz|69
Twista|65
Faithless|60
Alicia Keys|77
DJ Khaled|76
PNAU|73
M.O.P.|52
Howie Day|53
Christina Milian|52
JAY-Z|83
Kiiara|59
Olivia Holt|46
Jason Derulo|79
Will Young|46
DJ Fresh|53
John Legend|76
ROSALÍA|85
Ludacris|76
Charlie Puth|83
Tinie Tempah|66
Omarion|64
Eric Prydz|64
Nelly|74
Sheryl Crow|67
Trillville|44
Ludacris|76
Jim Jones|54
City High|45
Iggy Azalea|69
Ciara|70
Nicki Minaj|86
Chicane|57
The Streets|56
Brandy|64
Alesso|75
Mumford & Sons|72
Alicia Keys|77
LL COOL J|62
Wyclef Jean|71
David Banner|50
Sugababes|58
Nelly|74
Snoop Dogg|82
Hailee Steinfeld|71
Just Jack|45
Lily Allen|67
CHVRCHES|63
Outkast|74
Jason Derulo|79
Selena Gomez & The Scene|68
Amerie|54
M.O|52
Mario|65
Diddy|72
Mike Posner|69
AlunaGeorge|62
Bob Sinclar|68
David Guetta|88
Lil' Kim|65
Dido|71
James Morrison|62
So Solid Crew|39
Missy Elliott|71
Black Eyed Peas|80
Missy Elliott|71
Noah And The Whale|52
Jonas Blue|76
Ashanti|71
Ludacris|76
Jenil|42
Kelly Rowland|68
Jason Derulo|79
Sugababes|58
Nick Jonas|66
Andy Grammer|69
*NSYNC|66
Karley Scott Collins|45
Ja Rule|69
Illy|48
Enrique Iglesias|77
Unk|62
David Bowie|77
Duck Sauce|52
Counting Crows|68
Kelis|63
Chip|51
Janet Jackson|66
Tyga|80
Lil Jon & The East Side Boyz|62
Eminem|90
Musiq Soulchild|59
Lil' Kim|65
Orson|41
Janet Jackson|66
Scouting For Girls|55
Chumbawamba|54
Kodak Black|84
Lucas & Steve|63
Birdy|70
David Guetta|88
Mis-Teeq|45
Amanda Perez|41
Brandy|64
Mann|53
Jay Sean|65
Basement Jaxx|54
Daniel Bedingfield|52
Taio Cruz|69
Sammie|60
Martin Solveig|64
Black Eyed Peas|80
Sak Noel|53
Ludacris|76
Tamia|61
Beyoncé|87
B2K|52
Dizzee Rascal|62
Charli Baltimore|33
Sweet Female Attitude|43
*NSYNC|66
King Princess|59
Lemar|36
Big Brovaz|36
Sidney Samson|47
Meck|26
AFROJACK|72
David Guetta|88
Matt Simons|59
Mýa|62
Sigala|73
Hoodie Forester|29
T-Pain|76
Beyoncé|87
NSB|38
will.i.am|73
Swedish House Mafia|75
Brandy|64
Samantha Mumba|44
André Aires|24
Jordin Sparks|62
Trey Songz|69
Sweet Imperfections|33
Liberty X|38
Fort Minor|60
LL COOL J|62
The Temper Trap|66
Keri Hilson|67
Robyn|60
Roger Sanchez|51
Danyka|45
Mariah Carey|77
Missy Higgins|48
Player1|39
Fat Joe|67
Jack Harlow|80
K-Ci & JoJo|59
PSY|63
Blessing Offor|54
Professor Green|48
City High|45
Angie Martinez|37
Emily Hearn|32
Trill Ryan|35
Default|47
JLS|49
Leah Justine|13
Years & Years|68
Hinder|60
Kameechi|24
Seether|68
Maeesha b|20
Project North|26
Bow Wow|59
Will Smith|71
London|72
No Work On Monday|14
Dom Devino|16
DaFOO|23
Maithili Raelle|20
Marlon Percy|15
Molly Warburton|19
David Guetta|88
Hunter Mouallem|12
Mary J. Blige|70
Lukx|21
Charlie Mat|0
Ekat Bork|9
Marcello Spooks|22
KTEE|17
Mila Nabours|11
Havens|48
KJ Hand|8
Preston TO|10
Kodiro|0
Usher|79
Jordan Cabo Smith|4
Thimo Konings|7
Marta Delas|8
Beach Blvd|6
Mando Diao|55
Desire Machines|5
Everything Brighter|12
LEADR|8
